t,x,y,z
0.00,2.943,-0.213,0.5
0.05,2.934,-0.216,0.5
0.10,2.926,-0.220,0.5
0.15,2.918,-0.225,0.5
0.20,2.910,-0.230,0.5
0.25,2.903,-0.236,0.5
0.30,2.895,-0.243,0.5
0.35,2.888,-0.250,0.5
0.40,2.880,-0.257,0.5
0.45,2.873,-0.265,0.5
0.50,2.866,-0.273,0.5
0.55,2.859,-0.282,0.5
0.60,2.853,-0.290,0.5
0.65,2.846,-0.299,0.5
0.70,2.839,-0.308,0.5
0.75,2.832,-0.317,0.5
0.80,2.826,-0.327,0.5
0.85,2.819,-0.336,0.5
0.90,2.813,-0.346,0.5
0.95,2.806,-0.355,0.5
1.00,2.800,-0.365,0.5
1.05,2.793,-0.375,0.5
1.10,2.787,-0.385,0.5
1.15,2.780,-0.395,0.5
1.20,2.774,-0.404,0.5
1.25,2.767,-0.414,0.5
1.30,2.761,-0.424,0.5
1.35,2.754,-0.434,0.5
1.40,2.748,-0.444,0.5
1.45,2.742,-0.454,0.5
1.50,2.735,-0.464,0.5
1.55,2.729,-0.473,0.5
1.60,2.722,-0.483,0.5
1.65,2.716,-0.493,0.5
1.70,2.709,-0.502,0.5
1.75,2.703,-0.512,0.5
1.80,2.697,-0.521,0.5
1.85,2.690,-0.531,0.5
1.90,2.684,-0.540,0.5
1.95,2.677,-0.549,0.5
2.00,2.671,-0.558,0.5
2.05,2.664,-0.568,0.5
2.10,2.658,-0.577,0.5
2.15,2.651,-0.586,0.5
2.20,2.645,-0.594,0.5
2.25,2.638,-0.603,0.5
2.30,2.632,-0.612,0.5
2.35,2.625,-0.621,0.5
2.40,2.619,-0.629,0.5
2.45,2.612,-0.637,0.5
2.50,2.605,-0.646,0.5
2.55,2.599,-0.654,0.5
2.60,2.592,-0.662,0.5
2.65,2.586,-0.670,0.5
2.70,2.579,-0.678,0.5
2.75,2.572,-0.686,0.5
2.80,2.565,-0.694,0.5
2.85,2.559,-0.702,0.5
2.90,2.552,-0.709,0.5
2.95,2.545,-0.717,0.5
3.00,2.539,-0.724,0.5
3.05,2.532,-0.732,0.5
3.10,2.525,-0.739,0.5
3.15,2.518,-0.746,0.5
3.20,2.511,-0.753,0.5
3.25,2.505,-0.760,0.5
3.30,2.498,-0.766,0.5
3.35,2.491,-0.773,0.5
3.40,2.484,-0.779,0.5
3.45,2.477,-0.786,0.5
3.50,2.470,-0.792,0.5
3.55,2.464,-0.798,0.5
3.60,2.457,-0.804,0.5
3.65,2.450,-0.810,0.5
3.70,2.443,-0.816,0.5
3.75,2.436,-0.821,0.5
3.80,2.429,-0.827,0.5
3.85,2.422,-0.832,0.5
3.90,2.415,-0.837,0.5
3.95,2.408,-0.842,0.5
4.00,2.401,-0.847,0.5
4.05,2.394,-0.852,0.5
4.10,2.387,-0.857,0.5
4.15,2.380,-0.862,0.5
4.20,2.373,-0.866,0.5
4.25,2.367,-0.870,0.5
4.30,2.360,-0.875,0.5
4.35,2.353,-0.879,0.5
4.40,2.346,-0.883,0.5
4.45,2.339,-0.886,0.5
4.50,2.332,-0.890,0.5
4.55,2.325,-0.894,0.5
4.60,2.318,-0.897,0.5
4.65,2.311,-0.900,0.5
4.70,2.304,-0.903,0.5
4.75,2.297,-0.907,0.5
4.80,2.290,-0.909,0.5
4.85,2.283,-0.912,0.5
4.90,2.276,-0.915,0.5
4.95,2.269,-0.917,0.5
5.00,2.262,-0.920,0.5
5.05,2.255,-0.922,0.5
5.10,2.248,-0.924,0.5
5.15,2.241,-0.926,0.5
5.20,2.234,-0.928,0.5
5.25,2.228,-0.930,0.5
5.30,2.221,-0.932,0.5
5.35,2.214,-0.934,0.5
5.40,2.207,-0.935,0.5
5.45,2.200,-0.936,0.5
5.50,2.193,-0.938,0.5
5.55,2.186,-0.939,0.5
5.60,2.180,-0.940,0.5
5.65,2.173,-0.941,0.5
5.70,2.166,-0.941,0.5
5.75,2.159,-0.942,0.5
5.80,2.153,-0.942,0.5
5.85,2.146,-0.943,0.5
